PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_req=89 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=90 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=91 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=92 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=93 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=94 ttl=52 time=203 ms
64 bytes from 8.8.8.8: icmp_req=95 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=96 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=97 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=98 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=99 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=100 ttl=52 time=201 ms

--- 8.8.8.8 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 1248ms
rtt min/avg/max/mdev = 197.232/199.919/234.161/4.445 ms, pipe 19, ipg/ewma 12.608/199.552 ms
